municipio_ibge,soma,contagem
1100015,6000.0,2
1100023,32405.0,13
1100049,15852.0,6
1100056,6000.0,1
1100098,3000.0,1
1100106,20400.0,8
1100114,12511.0,6
1100122,51600.0,15
1100130,11400.0,4
1100148,8400.0,1
1100155,12000.0,3
1100189,9600.0,3
1100205,272884.0,103
1100254,12000.0,4
1100288,13800.0,6
1100296,3000.0,1
1100304,11747.0,6
1100320,6000.0,1
1100338,12000.0,2
1100346,1118.0,1
1100403,1200.0,1
1100502,6000.0,2
1100700,3000.0,1
1100809,2400.0,2
1100940,2400.0,1
1101104,3000.0,1
1101203,1159.0,1
1101302,2359.0,1
1101492,3000.0,1
1101500,5400.0,2
1101559,6000.0,1
1101609,2400.0,1
1101708,6000.0,1
1101807,3000.0,1
1200013,4800.0,2
1200054,956.0,1
1200138,4200.0,1
1200203,22960.0,10
1200252,3000.0,1
1200302,1591.0,1
1200336,1800.0,1
1200344,4200.0,1
1200385,14700.0,7
1200401,159189.0,76
1200450,13983.0,5
1200500,4531.0,3
1200609,1442.0,1
1200708,4670.0,2
1200807,6470.0,2
1300029,6000.0,1
1300086,300.0,1
1300102,1553.0,1
1300144,9000.0,2
1300201,7256.0,5
1300409,1200.0,1
1300607,1200.0,1
1300706,1200.0,1
1301100,2400.0,1
1301209,3000.0,1
1301803,600.0,1
1301852,3000.0,1
1301902,19070.0,6
1302207,2400.0,1
1302504,2229.0,2
1302553,6000.0,1
1302603,628321.0,305
1302801,631.0,1
1302900,1200.0,1
1303106,1200.0,1
1303205,1200.0,1
1303403,4200.0,1
1303502,1200.0,1
1303536,5400.0,2
1304062,13200.0,4
1304104,6000.0,1
1304203,1200.0,1
1304260,4200.0,1
1304302,3000.0,1
1304401,2135.0,1
1400027,1515.0,2
1400050,1670.0,1
1400100,103244.0,44
1400233,1109.0,1
1400308,13200.0,4
1400407,1200.0,1
1400472,5229.0,2
1400506,2400.0,2
1400605,2400.0,1
1400704,2400.0,1
1500107,20511.0,8
1500131,3000.0,1
1500206,600.0,1
1500404,13581.0,4
1500602,78200.0,29
1500800,75628.0,39
1500859,2400.0,1
1501303,7200.0,2
1501402,331644.0,164
1501501,6664.0,4
1501709,1200.0,1
1501725,3600.0,1
1501808,3600.0,2
1502103,1889.0,3
1502152,2400.0,1
1502202,17173.0,11
1502400,53890.0,18
1502707,5400.0,3
1502806,1111.0,1
1503309,1609.0,1
1503408,1029.0,1
1503457,429.0,1
1503606,3600.0,3
1503705,333.0,1
1503804,6000.0,1
1504208,33000.0,16
1504422,21300.0,7
1504752,5400.0,2
1504802,10800.0,3
1504901,5400.0,2
1504976,1200.0,1
1505064,4063.0,3
1505106,4200.0,1
1505486,300.0,1
1505494,3000.0,1
1505502,4800.0,2
1505536,17100.0,6
1505700,6427.0,4
1505809,2781.0,2
1506138,6000.0,2
1506187,2400.0,1
1506195,4313.0,3
1506203,1200.0,1
1506302,4314.0,3
1506500,8700.0,5
1506583,3000.0,1
1506807,101410.0,40
1507003,1200.0,1
1507300,6000.0,2
1507466,300.0,1
1507706,8560.0,4
1507805,5731.0,2
1507904,18687.0,7
1507961,3300.0,1
1508001,6000.0,1
1508035,6000.0,1
1508050,1200.0,1
1508084,3000.0,1
1508100,3000.0,1
1508159,1200.0,1
1508357,1759.0,1
1600105,6334.0,3
1600204,2359.0,2
1600238,3600.0,2
1600279,4319.0,3
1600303,97278.0,41
1600535,3000.0,1
1600600,18896.0,9
1700400,1200.0,1
1700707,4200.0,2
1702109,28200.0,9
1702208,4200.0,1
1702406,3600.0,1
1703073,3000.0,1
1703305,1953.0,1
1703701,1800.0,1
1703800,7070.0,2
1705508,3000.0,1
1706258,4200.0,1
1707009,4200.0,2
1707207,1800.0,1
1708205,7070.0,3
1708254,1800.0,1
1709302,3000.0,1
1709500,54129.0,15
1710508,1200.0,1
1711902,1800.0,1
1711951,1636.0,2
1713205,11101.0,4
1713304,1800.0,1
1713601,4200.0,1
1713809,1800.0,1
1714880,3000.0,1
1715754,2400.0,1
1716109,16677.0,6
1716208,1443.0,2
1716604,1670.0,1
1716653,6000.0,1
1716703,3000.0,1
1717008,429.0,1
1717206,2400.0,1
1718204,29174.0,8
1718402,1800.0,1
1718907,2400.0,1
1720259,600.0,1
1720903,2700.0,2
