municipio_ibge,contagem,soma
0.0,864672.0,191967675.0
0.0,411334.0,92267775.0
0.0,426641.0,100242650.0
0.0,433804.0,96779350.0
0.0,253138.0,55021550.0
1200013.0,3112.0,737625.0
1200054.0,2490.0,528875.0
1200104.0,6805.0,1548225.0
1200138.0,2679.0,646150.0
1200179.0,2357.0,584202.0
1200203.0,13761.0,3367069.0
1200252.0,4519.0,1032321.0
1200302.0,5064.0,1238650.0
1200328.0,903.0,215150.0
1200336.0,2057.0,487425.0
1200344.0,1451.0,350275.0
1200351.0,2141.0,513825.0
1200385.0,3389.0,805250.0
1200393.0,1108.0,264188.0
1200401.0,72310.0,17193811.0
1200427.0,1824.0,441675.0
1200435.0,504.0,127025.0
1200450.0,5080.0,1286846.0
1200500.0,6724.0,1636302.0
1200609.0,5320.0,1348626.0
1200708.0,3760.0,912425.0
1200807.0,3870.0,965355.0
2700102.0,2612.0,660329.0
2700201.0,3085.0,813175.0
2700300.0,47255.0,12505821.0
2700409.0,8096.0,2320967.0
2700508.0,3912.0,1097104.0
2700607.0,1979.0,498725.0
2700706.0,3349.0,836900.0
2700805.0,1051.0,254475.0
2700904.0,966.0,233925.0
2701001.0,4462.0,1254600.0
2701100.0,2553.0,727125.0
2701209.0,2075.0,511500.0
2701308.0,3723.0,1095975.0
2701357.0,1368.0,393225.0
2701407.0,6622.0,1905533.0
2701506.0,1473.0,389275.0
2701605.0,3032.0,736300.0
2701704.0,2561.0,702875.0
2701803.0,1550.0,408825.0
2701902.0,993.0,264575.0
2702009.0,2026.0,508700.0
2702108.0,3722.0,1073375.0
2702207.0,1102.0,291625.0
2702306.0,9324.0,2609325.0
2702355.0,3888.0,1015075.0
2702405.0,10445.0,2692325.0
2702504.0,2349.0,591475.0
2702553.0,2671.0,674875.0
2702603.0,4324.0,1145550.0
2702702.0,1000.0,262250.0
2702801.0,2546.0,693850.0
2702900.0,4944.0,1234175.0
2703007.0,2820.0,776725.0
2703106.0,3859.0,960152.0
2703205.0,3891.0,1045506.0
2703304.0,3096.0,799575.0
2703403.0,1135.0,281975.0
2703502.0,1391.0,379850.0
2703601.0,2073.0,542300.0
2703700.0,906.0,230400.0
2703759.0,1938.0,524725.0
2703809.0,4317.0,1268825.0
2703908.0,775.0,208300.0
2704005.0,4615.0,1302450.0
2704104.0,3306.0,840175.0
2704203.0,4126.0,1063600.0
2704302.0,175660.0,47765295.0
2704401.0,3683.0,931625.0
2704500.0,7351.0,2022625.0
2704609.0,2509.0,600206.0
2704708.0,11007.0,2996425.0
2704807.0,2765.0,695000.0
2704906.0,658.0,166900.0
2705002.0,3801.0,972550.0
2705101.0,4688.0,1347725.0
2705200.0,3005.0,859750.0
2705309.0,878.0,216925.0
2705408.0,1426.0,364083.0
2705507.0,5348.0,1563575.0
2705606.0,2018.0,564800.0
2705705.0,4756.0,1203325.0
2705804.0,1673.0,433000.0
2705903.0,696.0,184100.0
2706000.0,1620.0,404950.0
2706109.0,2411.0,591384.0
2706208.0,1045.0,263550.0
2706307.0,15656.0,3927441.0
2706406.0,5051.0,1289020.0
2706422.0,1642.0,435550.0
2706448.0,3295.0,893225.0
2706505.0,2620.0,747719.0
2706604.0,1464.0,363100.0
2706703.0,13301.0,3545789.0
2706802.0,2945.0,761250.0
2706901.0,7638.0,2138111.0
2707008.0,425.0,104275.0
2707107.0,4361.0,1143100.0
2707206.0,1986.0,504475.0
2707305.0,6463.0,1806885.0
2707404.0,1837.0,480350.0
2707503.0,3463.0,871775.0
2707602.0,1881.0,465575.0
2707701.0,19342.0,5372335.0
2707800.0,1221.0,336890.0
2707909.0,1454.0,382650.0
2708006.0,8951.0,2288125.0
1300029.0,2551.0,652725.0
1300060.0,1716.0,434100.0
1300086.0,1200.0,290449.0
1300102.0,2489.0,613250.0
1300144.0,3128.0,723750.0
1300201.0,1482.0,392725.0
1300300.0,7987.0,1959975.0
1300409.0,3489.0,866225.0
1300508.0,4935.0,1191000.0
1300607.0,4810.0,1224850.0
1300631.0,3758.0,904125.0
1300680.0,2760.0,678250.0
1300706.0,6997.0,1756725.0
1300805.0,4740.0,1200825.0
1300839.0,2132.0,529050.0
1300904.0,1554.0,396275.0
1301001.0,4986.0,1267575.0
1301100.0,7532.0,1885750.0
1301159.0,3056.0,734900.0
1301209.0,16279.0,4060075.0
1301308.0,3849.0,981500.0
1301407.0,5081.0,1354775.0
1301506.0,1716.0,437000.0
1301605.0,4017.0,1062875.0
1301654.0,1618.0,404729.0
1301704.0,9949.0,2466177.0
1301803.0,2450.0,622975.0
1301852.0,16220.0,4119907.0
1301902.0,20308.0,4952049.0
1301951.0,1582.0,407725.0
1302009.0,1936.0,494650.0
1302108.0,890.0,218725.0
1302207.0,1359.0,339550.0
1302306.0,2943.0,772975.0
1302405.0,5373.0,1378150.0
1302504.0,22703.0,5736267.0
1302553.0,3032.0,734875.0
1302603.0,480239.0,115289464.0
2708105.0,2398.0,615675.0
2708204.0,1098.0,268575.0
2708303.0,4588.0,1265875.0
2708402.0,5513.0,1448625.0
2708501.0,6435.0,1915475.0
2708600.0,10471.0,2960625.0
2708709.0,1866.0,461475.0
2708808.0,5601.0,1496875.0
2708907.0,3724.0,971200.0
2708956.0,2172.0,580150.0
2709004.0,1075.0,266575.0
2709103.0,3610.0,936850.0
2709152.0,6597.0,1884600.0
2709202.0,3068.0,758775.0
2709301.0,14770.0,4166611.0
2709400.0,5149.0,1396200.0
1302702.0,8975.0,2197425.0
1302801.0,1561.0,390900.0
1302900.0,10496.0,2583950.0
1303007.0,2710.0,684413.0
1303106.0,5272.0,1324675.0
1303205.0,3123.0,771925.0
1303304.0,3271.0,806300.0
1303403.0,23169.0,5909050.0
1303502.0,2360.0,619175.0
1303536.0,7700.0,1866340.0
1303569.0,5907.0,1421864.0
1303601.0,1994.0,517650.0
1303700.0,3365.0,861700.0
1303809.0,5368.0,1409650.0
1303908.0,3278.0,830925.0
1303957.0,1684.0,411375.0
1304005.0,1546.0,396625.0
1304062.0,11617.0,2922575.0
1304104.0,2981.0,739825.0
1304203.0,13060.0,3232371.0
1304237.0,2651.0,657000.0
1304260.0,1556.0,400000.0
1304302.0,2939.0,725300.0
1304401.0,2128.0,531875.0
1600105.0,5861.0,1204600.0
1600204.0,2591.0,629425.0
1600212.0,850.0,204500.0
1600238.0,1738.0,442600.0
1600253.0,1122.0,263400.0
1600279.0,10382.0,2629958.0
1600303.0,106375.0,25801640.0
1600055.0,896.0,226100.0
1600154.0,2298.0,587600.0
1600402.0,3554.0,908750.0
1600501.0,7974.0,1746400.0
1600535.0,4231.0,1069400.0
1600550.0,800.0,188150.0
1600600.0,27367.0,6793340.0
1600709.0,2054.0,501700.0
1600808.0,2187.0,540800.0
2900108.0,1778.0,398025.0
2900207.0,4035.0,1011414.0
2900306.0,4177.0,1034650.0
2900355.0,3746.0,889500.0
2900405.0,3211.0,778025.0
2900603.0,952.0,240300.0
2900702.0,35458.0,8747793.0
2900801.0,5529.0,1354930.0
2900900.0,1292.0,311450.0
2901007.0,8175.0,2020245.0
2901106.0,5522.0,1402650.0
2901155.0,3530.0,869290.0
2901205.0,4814.0,1183383.0
2901304.0,2795.0,672925.0
2901353.0,3193.0,757750.0
2901403.0,2393.0,590150.0
2901502.0,2094.0,536850.0
2901601.0,3042.0,710175.0
2901700.0,2504.0,648398.0
2901809.0,1939.0,477950.0
2901908.0,3646.0,879775.0
2901957.0,1472.0,354382.0
2902005.0,2498.0,592997.0
2902054.0,2684.0,692100.0
2902104.0,11848.0,2993824.0
2902203.0,2319.0,578922.0
2902252.0,1841.0,432575.0
2902302.0,1992.0,476128.0
2902401.0,2799.0,703645.0
2902500.0,1959.0,479875.0
2902609.0,4188.0,988575.0
2902658.0,2127.0,505575.0
2902708.0,9149.0,2273600.0
2902807.0,5586.0,1364275.0
2902906.0,7220.0,1835371.0
2903003.0,2947.0,721630.0
2903102.0,1058.0,266350.0
2903201.0,30709.0,7503552.0
2903235.0,3014.0,739075.0
2903276.0,3011.0,788125.0
2903300.0,1443.0,357334.0
2903409.0,4759.0,1183775.0
2903508.0,4008.0,979275.0
2903607.0,3443.0,844825.0
2903706.0,3160.0,782700.0
2903805.0,2991.0,732900.0
2903904.0,13324.0,3345295.0
2903953.0,1687.0,396075.0
2904001.0,2824.0,701400.0
2904050.0,3492.0,861150.0
2904100.0,2820.0,680225.0
2904209.0,2054.0,502750.0
2904308.0,2905.0,687425.0
2904407.0,1838.0,439825.0
2904506.0,2273.0,522522.0
2904605.0,13632.0,3340576.0
2904704.0,3958.0,954160.0
2904753.0,3046.0,746266.0
2904803.0,1424.0,350475.0
2904852.0,2921.0,750575.0
2904902.0,7813.0,1849801.0
2905008.0,4562.0,1077275.0
2905107.0,2053.0,506550.0
2905156.0,1817.0,444150.0
2905206.0,10604.0,2582926.0
2905305.0,3476.0,847275.0
2905404.0,4074.0,925125.0
2905503.0,2277.0,561325.0
2905602.0,5300.0,1273467.0
2905701.0,64023.0,15652673.0
2905800.0,8438.0,2094975.0
2905909.0,4324.0,1023700.0
2906006.0,15216.0,3864575.0
2900504.0,1446.0,337975.0
2906105.0,1617.0,391675.0
2906204.0,5157.0,1274925.0
2906303.0,8023.0,1939071.0
2906402.0,1823.0,459050.0
2906501.0,18719.0,4605309.0
2906600.0,2322.0,576715.0
2906709.0,6227.0,1511400.0
2906808.0,6505.0,1580367.0
2906824.0,3465.0,814325.0
2906857.0,2717.0,646075.0
2906873.0,7970.0,1936900.0
2906899.0,1866.0,440100.0
2906907.0,4152.0,1041700.0
2907004.0,1831.0,486550.0
2907103.0,5280.0,1281300.0
2907202.0,13707.0,3348561.0
2907301.0,6195.0,1512402.0
2907400.0,564.0,137725.0
2907509.0,11245.0,2768938.0
2907558.0,1536.0,365575.0
2907608.0,3798.0,914875.0
2907707.0,1537.0,378375.0
2907806.0,7757.0,1900150.0
2907905.0,4093.0,987350.0
2908002.0,5301.0,1313900.0
2908101.0,3655.0,918166.0
2908200.0,4554.0,1182200.0
2908309.0,3440.0,822525.0
2908408.0,17223.0,4318536.0
2908507.0,7287.0,1815709.0
2908606.0,5981.0,1486181.0
2908705.0,2958.0,698275.0
2908804.0,1216.0,292350.0
2908903.0,6534.0,1581975.0
2909000.0,1577.0,381925.0
2909109.0,2713.0,653475.0
2909208.0,3391.0,837225.0
2909307.0,5621.0,1361625.0
2909406.0,2579.0,656250.0
2909505.0,1052.0,251275.0
2909604.0,4799.0,1160725.0
2909703.0,2760.0,664287.0
2909802.0,14053.0,3391804.0
2909901.0,6829.0,1626534.0
2910008.0,2278.0,571248.0
2910057.0,16705.0,4186406.0
2910107.0,2020.0,490175.0
2910206.0,902.0,218325.0
2910305.0,1797.0,437750.0
2910404.0,4178.0,1017050.0
2910503.0,9783.0,2403925.0
2910602.0,6960.0,1712425.0
2910701.0,11763.0,2879200.0
2910727.0,23687.0,5866856.0
2910750.0,4389.0,1049435.0
2910776.0,1416.0,324250.0
2910800.0,131039.0,32558028.0
2910859.0,3627.0,875025.0
2910909.0,1233.0,292274.0
2911006.0,2139.0,514600.0
2911105.0,5200.0,1341925.0
2911204.0,7625.0,1852125.0
2911253.0,1393.0,306725.0
2911303.0,1751.0,413650.0
2911402.0,3168.0,817034.0
2911501.0,1347.0,329750.0
2911600.0,4339.0,1068375.0
2911659.0,932.0,224500.0
2911709.0,17850.0,4370760.0
2911808.0,4481.0,1088950.0
2911857.0,2733.0,670550.0
2911907.0,5608.0,1395375.0
2912004.0,1901.0,455925.0
2912103.0,5635.0,1356825.0
2912202.0,3564.0,879617.0
2912301.0,3354.0,811305.0
2912400.0,3732.0,899475.0
2912509.0,2824.0,686825.0
2912608.0,741.0,176000.0
2912707.0,5326.0,1346440.0
2912806.0,1651.0,418225.0
2912905.0,4559.0,1131177.0
2913002.0,2563.0,618325.0
2913101.0,4033.0,979967.0
2913200.0,5062.0,1260325.0
2913309.0,1184.0,293400.0
2913408.0,3218.0,792375.0
2913457.0,2580.0,664100.0
2913507.0,3866.0,926800.0
2913606.0,43231.0,10524308.0
2913705.0,8519.0,2137837.0
2913804.0,2424.0,598700.0
2913903.0,10264.0,2553589.0
2914000.0,14442.0,3517227.0
2914109.0,1497.0,364850.0
2914208.0,1146.0,266675.0
2914307.0,1958.0,479075.0
2914406.0,5017.0,1226375.0
2914505.0,5629.0,1380550.0
2914604.0,16189.0,3999950.0
2914653.0,6643.0,1688675.0
2914703.0,15435.0,3786700.0
2914802.0,43633.0,10634049.0
2914901.0,6300.0,1469636.0
2915007.0,2633.0,640875.0
2915106.0,2574.0,619825.0
2915205.0,3320.0,826489.0
2915304.0,1656.0,416125.0
2915353.0,2494.0,612375.0
2915403.0,1234.0,308350.0
2915502.0,4872.0,1203958.0
2915601.0,15358.0,3796895.0
2915700.0,1886.0,467225.0
2915809.0,5094.0,1291525.0
2915908.0,1518.0,389800.0
2916005.0,5004.0,1159325.0
2916104.0,3751.0,885483.0
2916203.0,2145.0,545800.0
2916302.0,2538.0,639325.0
2916401.0,12970.0,3270023.0
2916500.0,7997.0,2040275.0
2916609.0,1651.0,391475.0
2916708.0,1962.0,473025.0
2916807.0,3810.0,950875.0
2916856.0,4044.0,1017375.0
2916906.0,2871.0,706800.0
2917003.0,7020.0,1705100.0
2917102.0,4059.0,978620.0
2917201.0,4133.0,996225.0
2917300.0,5628.0,1405639.0
2917334.0,2117.0,515350.0
2917359.0,1695.0,407855.0
2917409.0,2605.0,619140.0
2917508.0,19597.0,4812663.0
2917607.0,11649.0,2856301.0
2917706.0,6210.0,1495875.0
2917805.0,3324.0,812094.0
2917904.0,2298.0,571325.0
2918001.0,35230.0,8750171.0
2918100.0,9839.0,2436347.0
2918209.0,2892.0,713375.0
2918308.0,3641.0,881025.0
2918357.0,5673.0,1427538.0
2918407.0,47638.0,12022985.0
2918456.0,2010.0,477925.0
2918506.0,3345.0,823275.0
2918555.0,1347.0,318300.0
2918605.0,1514.0,368900.0
2918704.0,754.0,176000.0
2918753.0,1768.0,417325.0
2918803.0,5148.0,1286600.0
2918902.0,1154.0,282650.0
2919009.0,798.0,188450.0
2919058.0,1700.0,403325.0
2919108.0,1683.0,434450.0
2919157.0,6489.0,1599645.0
2919207.0,45219.0,10613935.0
2919306.0,2591.0,605575.0
2919405.0,2542.0,611900.0
2919504.0,9381.0,2314825.0
2919553.0,17406.0,4366551.0
2919603.0,2418.0,587350.0
2919702.0,3597.0,889025.0
2919801.0,8309.0,2064975.0
2919900.0,1225.0,284125.0
2919926.0,3734.0,889700.0
2919959.0,1160.0,267775.0
2920007.0,2020.0,502575.0
2920106.0,3683.0,877350.0
2920205.0,2538.0,641401.0
2920304.0,1746.0,420000.0
2920403.0,3490.0,870450.0
2920452.0,1828.0,456682.0
2920502.0,5655.0,1391225.0
2920601.0,10188.0,2375838.0
2920700.0,4914.0,1167470.0
2920809.0,1991.0,487475.0
2920908.0,3076.0,747225.0
2921005.0,12028.0,2919649.0
2921054.0,1897.0,477250.0
2921104.0,5377.0,1309750.0
2921203.0,5635.0,1355250.0
2921302.0,2778.0,672975.0
2921401.0,3742.0,915100.0
2921450.0,1997.0,487500.0
2921500.0,8561.0,2088707.0
2921609.0,1466.0,343975.0
2921708.0,7364.0,1792268.0
2921807.0,2189.0,520192.0
2921906.0,2214.0,547625.0
2922003.0,8013.0,1962605.0
2922052.0,2699.0,686230.0
2922102.0,4196.0,1007925.0
2922201.0,1901.0,459720.0
2922250.0,1621.0,393925.0
2922300.0,5605.0,1408512.0
2922409.0,4566.0,1108629.0
2922508.0,5606.0,1335247.0
2922607.0,2769.0,692200.0
2922656.0,2103.0,495084.0
2922706.0,3698.0,881950.0
2922730.0,1993.0,493625.0
2922755.0,1331.0,317275.0
2922805.0,2116.0,533875.0
2922854.0,1458.0,350050.0
2922904.0,4997.0,1206781.0
2923001.0,9376.0,2317975.0
2923035.0,2250.0,538575.0
2923050.0,1669.0,406775.0
2923100.0,5122.0,1245050.0
2923209.0,4104.0,988275.0
2923308.0,1997.0,493800.0
2923357.0,4497.0,1135804.0
2923407.0,4144.0,992675.0
2923506.0,2269.0,517150.0
2923605.0,4085.0,991825.0
2923704.0,5775.0,1363075.0
2923803.0,5197.0,1224125.0
2923902.0,3065.0,729975.0
2924009.0,21805.0,5618576.0
2924058.0,2978.0,731125.0
2924108.0,1409.0,345878.0
2924207.0,2172.0,537725.0
2924306.0,3180.0,772575.0
