municipio_ibge,contagem,soma
1100106,11,27600.0
1100379,3,6600.0
1100205,143,383284.0
1100940,2,5400.0
1100304,12,29747.0
1100114,15,39511.0
1100155,9,30000.0
1101492,1,3000.0
1101559,2,9000.0
5204557,1,3000.0
1100346,1,1118.0
1400472,2,5229.0
1100031,3,6600.0
1100130,5,14400.0
1502152,3,8400.0
5212055,1,903.0
1503044,1,3000.0
5219738,1,2400.0
1504976,2,2400.0
5203939,1,3000.0
1507466,1,300.0
1508035,1,6000.0
5201454,1,3000.0
5205497,19,48756.0
1706258,1,4200.0
5214879,3,9000.0
5106653,2,4200.0
1200104,4,12000.0
1200203,15,33160.0
2100477,1,3000.0
2101251,3,6470.0
5106158,2,4200.0
2102150,1,3000.0
1200401,108,234189.0
5006002,8,17822.0
2103125,1,3000.0
1200609,1,1442.0
1200450,5,13983.0
2103752,4,8400.0
1200344,1,4200.0
1200054,2,3956.0
2104552,5,7800.0
2105153,1,3000.0
2105658,1,3000.0
1300102,1,1553.0
2107456,1,6000.0
1300201,5,7256.0
2108256,1,2155.0
1300409,2,2400.0
1300607,1,1200.0
2109270,3,5492.0
1301209,1,3000.0
1301407,1,3000.0
1303601,1,600.0
2111250,1,3000.0
2111532,2,2400.0
2111763,2,6000.0
1302504,4,4029.0
1302900,2,4200.0
1303106,1,1200.0
1303403,1,4200.0
1304104,1,6000.0
2201945,3,8270.0
1304302,1,3000.0
2202075,1,1200.0
1300029,1,6000.0
1300086,1,300.0
1400100,83,204644.0
1400407,1,1200.0
1400605,1,3000.0
1703867,1,3000.0
2205458,2,8400.0
1703305,2,4953.0
1708254,1,1800.0
2206670,1,4800.0
1717206,1,2400.0
1711902,1,1800.0
2207959,1,4200.0
1500131,1,3000.0
2209450,1,259.0
1507151,1,3000.0
1500347,2,6000.0
1502764,2,6000.0
1507953,2,3600.0
1508084,5,15000.0
1500107,16,34911.0
1500206,1,600.0
1500404,4,13581.0
1500909,1,600.0
1501303,6,15000.0
2410256,1,4200.0
1501501,5,7264.0
1501709,5,6000.0
2414456,1,1200.0
1502103,7,9089.0
1502707,6,12000.0
1503705,2,3333.0
1504208,31,66600.0
2509057,3,5400.0
1504406,4,7200.0
1504802,5,14400.0
1505007,1,3000.0
2512754,1,1503.0
1506005,1,1200.0
1506203,2,1800.0
1506609,2,3600.0
2516755,1,4200.0
1507300,3,9000.0
2604155,3,6600.0
2608057,1,209.0
1507706,5,11560.0
1507904,8,21687.0
2614857,2,9000.0
1508308,1,600.0
1506161,1,3000.0
1501576,1,3000.0
1502756,2,6000.0
1504455,2,3600.0
1505437,2,6000.0
1505536,22,56100.0
1506195,4,7313.0
3120839,4,7200.0
1600105,7,16534.0
1600204,2,2359.0
3122470,1,600.0
1600279,3,4319.0
1600600,10,21896.0
1507458,2,3600.0
3130556,1,6000.0
1503093,1,600.0
1505064,5,7663.0
3135357,2,2529.0
1508357,1,1759.0
1200013,5,8400.0
1200138,1,4200.0
3138682,1,4200.0
1200252,3,9000.0
3144672,1,3000.0
3145356,1,3000.0
1100809,2,2400.0
3150158,1,3000.0
1100502,2,6000.0
1101203,1,1159.0
1101302,2,5359.0
1101500,2,5400.0
3157336,2,4200.0
3157377,1,1800.0
3160454,1,1532.0
2100501,1,300.0
2100709,8,32309.0
3162252,2,6000.0
3162922,8,15600.0
2101202,7,17051.0
2101400,3,8400.0
3165537,7,12900.0
2101608,7,16070.0
3170750,1,3000.0
3171071,1,1800.0
3201159,1,3000.0
3203320,4,10800.0
2103307,9,20400.0
2103703,1,3000.0
3301876,6,16800.0
3303955,9,14006.0
3304755,1,3000.0
2104305,2,2400.0
3305554,6,8431.0
2104503,1,3000.0
2104800,7,15600.0
