municipio_ibge,contagem,soma
1100015,6.0,6463.0
1100023,48.0,63732.0
1100031,3.0,2700.0
1100049,58.0,66900.0
1100056,10.0,9429.0
1100064,6.0,8400.0
1100072,1.0,900.0
1100080,5.0,6600.0
1100098,11.0,11870.0
1100106,12.0,16200.0
1100114,24.0,32100.0
1100122,71.0,114300.0
1100130,8.0,11488.0
1100148,3.0,5700.0
1100155,16.0,30600.0
1100189,18.0,25759.0
1100205,283.0,428804.0
1100254,3.0,4800.0
1100262,2.0,2700.0
1100288,25.0,38828.0
1100296,3.0,858.0
1100304,34.0,32574.0
1100320,13.0,15518.0
1100338,6.0,7500.0
1100346,3.0,3000.0
1100379,2.0,1200.0
1100403,2.0,3600.0
1100452,19.0,23610.0
1100502,4.0,3300.0
1100601,1.0,1200.0
1100700,3.0,5100.0
1100809,7.0,9770.0
1100924,5.0,5100.0
1100940,8.0,10200.0
1101005,1.0,3000.0
1101104,6.0,5100.0
1101302,3.0,3900.0
1101401,2.0,2100.0
1101435,2.0,1800.0
1101468,1.0,900.0
1101484,1.0,1200.0
1101492,8.0,11700.0
1101500,8.0,10500.0
1101609,3.0,3000.0
1101708,11.0,11529.0
1101757,2.0,1670.0
1101807,2.0,4200.0
1200013,5.0,6811.0
1200054,6.0,8100.0
1200104,7.0,10929.0
1200138,13.0,21300.0
1200179,4.0,5820.0
1200203,25.0,34670.0
1200252,7.0,7200.0
1200302,8.0,9600.0
1200328,3.0,6000.0
1200336,4.0,4920.0
1200344,2.0,3300.0
1200351,2.0,1800.0
1200385,4.0,5400.0
1200401,173.0,235667.0
1200427,2.0,1036.0
1200435,1.0,600.0
1200450,5.0,8131.0
1200500,9.0,8100.0
1200609,7.0,12600.0
1200708,6.0,9300.0
1200807,5.0,6122.0
1300060,2.0,2400.0
1300086,1.0,900.0
1300102,4.0,5400.0
1300144,3.0,3000.0
1300201,4.0,4200.0
1300300,9.0,9643.0
1300409,4.0,5700.0
1300508,3.0,988.0
1300607,9.0,7500.0
1300631,1.0,144.0
1300680,4.0,3600.0
1300706,8.0,11706.0
1300805,4.0,1288.0
1300839,1.0,600.0
1300904,3.0,4531.0
1301001,4.0,3600.0
1301100,5.0,3770.0
1301159,4.0,8100.0
1301209,23.0,27275.0
1301308,6.0,4030.0
1301407,2.0,2100.0
1301506,4.0,3031.0
1301605,5.0,4200.0
1301654,2.0,2100.0
1301704,16.0,20753.0
1301803,1.0,1800.0
1301852,24.0,31501.0
1301902,37.0,38955.0
1302009,2.0,1200.0
1302306,4.0,8100.0
1302405,7.0,9031.0
1302504,30.0,36967.0
1302553,4.0,5140.0
1302603,1317.0,1746790.0
1302702,13.0,12940.0
1302801,2.0,3000.0
1302900,9.0,9662.0
1303007,6.0,7132.0
1303106,14.0,36753.0
1303205,4.0,3600.0
1303403,25.0,27933.0
1303502,2.0,3900.0
1303536,13.0,13200.0
1303569,9.0,14400.0
1303601,1.0,1200.0
1303700,4.0,5700.0
1303809,9.0,13125.0
1303908,5.0,6300.0
1303957,3.0,1843.0
1304005,1.0,22.0
1304062,18.0,22029.0
1304104,5.0,4362.0
1304203,24.0,42600.0
1304237,3.0,6600.0
1304302,7.0,6253.0
1304401,7.0,14100.0
1400027,1.0,1200.0
1400050,6.0,6688.0
1400100,176.0,255303.0
1400159,2.0,1231.0
1400175,3.0,2529.0
1400209,12.0,24511.0
1400233,4.0,3600.0
1400282,1.0,388.0
1400308,5.0,8491.0
1400407,2.0,631.0
1400456,3.0,2100.0
1400472,13.0,21000.0
1400506,2.0,1200.0
1400605,3.0,9600.0
1500107,53.0,52402.0
1500131,4.0,3300.0
1500206,19.0,14723.0
1500305,7.0,7268.0
1500347,3.0,5011.0
1500404,15.0,18170.0
1500503,7.0,5532.0
1500602,54.0,66062.0
1500701,3.0,1629.0
1500800,189.0,222844.0
1500859,10.0,16500.0
1500909,7.0,4562.0
1500958,11.0,16370.0
1501006,1.0,1200.0
1501105,2.0,2100.0
1501204,18.0,17753.0
1501253,3.0,2400.0
1501303,72.0,64021.0
1501402,624.0,712633.0
1501451,5.0,6000.0
1501501,27.0,34947.0
1501576,5.0,6681.0
1501600,1.0,900.0
1501709,31.0,35243.0
1501725,4.0,3900.0
1501758,1.0,3000.0
1501782,13.0,15116.0
1501808,24.0,28866.0
1501907,4.0,2992.0
1501956,4.0,3000.0
1502004,41.0,107067.0
1502103,92.0,71033.0
1502152,30.0,38742.0
1502202,25.0,33170.0
1502301,19.0,20870.0
1502400,88.0,109112.0
1502509,6.0,10634.0
1502608,7.0,7660.0
1502707,21.0,27300.0
1502756,9.0,10500.0
1502764,2.0,1070.0
1502772,9.0,8017.0
1502806,55.0,137849.0
1502855,9.0,11093.0
1502905,1.0,3000.0
1502939,10.0,11700.0
1502954,10.0,14373.0
1503044,4.0,3600.0
1503077,6.0,6900.0
1503093,8.0,6770.0
1503101,3.0,4200.0
1503200,7.0,6729.0
1503309,24.0,25230.0
1503408,5.0,7111.0
1503457,5.0,7200.0
1503507,10.0,10621.0
1503606,37.0,37254.0
1503705,13.0,15470.0
1503804,15.0,26400.0
1503903,16.0,12599.0
1504000,5.0,3100.0
1504059,8.0,11400.0
1504109,3.0,4800.0
1504208,101.0,114825.0
1504307,9.0,8425.0
1504406,7.0,5058.0
1504422,39.0,41816.0
1504455,8.0,6932.0
1504505,4.0,4500.0
1504604,23.0,24886.0
1504703,21.0,24353.0
1504752,8.0,8400.0
1504802,13.0,10793.0
1504901,34.0,62346.0
1504950,5.0,6300.0
1504976,4.0,8400.0
1505007,3.0,3770.0
1505031,7.0,6600.0
1505064,28.0,29163.0
1505106,10.0,8700.0
1505205,20.0,17964.0
1505304,18.0,19352.0
1505403,2.0,1800.0
1505437,12.0,14255.0
1505486,7.0,6849.0
1505494,1.0,900.0
1505502,40.0,45073.0
1505536,111.0,150669.0
1505551,3.0,3300.0
1505601,1.0,300.0
1505635,2.0,3600.0
1505650,2.0,729.0
1505700,75.0,139009.0
1505809,21.0,32869.0
1505908,4.0,9000.0
1506005,7.0,8223.0
1506104,1.0,900.0
1506112,1.0,4800.0
1506138,57.0,62935.0
1506161,4.0,5229.0
1506187,13.0,16500.0
1506195,2.0,1200.0
1506203,12.0,10458.0
1506302,58.0,96387.0
1506351,13.0,22200.0
1506401,9.0,12542.0
1506500,19.0,18947.0
1506559,4.0,4360.0
1506583,1.0,300.0
1506609,4.0,5100.0
1506708,6.0,12000.0
1506807,123.0,162519.0
1506906,4.0,952.0
1507003,11.0,10783.0
1507102,4.0,1334.0
1507151,9.0,12590.0
1507201,4.0,3600.0
1507300,12.0,12679.0
1507409,2.0,1063.0
1507458,13.0,13929.0
1507466,1.0,1200.0
1507474,8.0,8147.0
1507508,4.0,2131.0
1507607,12.0,19711.0
1507706,63.0,135416.0
1507805,4.0,6900.0
1507904,119.0,147441.0
1507953,20.0,19098.0
1507961,1.0,3600.0
1507979,4.0,2595.0
1508001,42.0,50992.0
1508035,4.0,3600.0
1508050,2.0,2700.0
1508084,13.0,13200.0
1508100,44.0,52108.0
1508126,11.0,14611.0
1508159,15.0,14957.0
1508209,20.0,21014.0
1508308,11.0,6925.0
1508357,8.0,5168.0
1508407,22.0,21509.0
1600105,14.0,11472.0
1600154,7.0,7320.0
1600204,3.0,6600.0
1600212,3.0,3300.0
1600238,8.0,13629.0
1600279,14.0,15081.0
1600303,217.0,289517.0
1600402,7.0,10579.0
1600501,17.0,31200.0
1600535,4.0,6600.0
1600550,3.0,4200.0
1600600,46.0,57342.0
1600709,1.0,3000.0
1600808,3.0,4500.0
2100055,39.0,54739.0
2100105,5.0,6000.0
2100154,4.0,5400.0
2100204,2.0,1800.0
2100303,7.0,6770.0
2100402,1.0,900.0
2100436,9.0,19670.0
2100477,11.0,28800.0
2100501,3.0,2515.0
2100550,2.0,1800.0
2100600,7.0,10800.0
2100709,5.0,8528.0
2100808,3.0,5700.0
2100832,3.0,3000.0
2100873,9.0,12980.0
2100907,8.0,6770.0
2100956,7.0,10200.0
2101004,10.0,10018.0
2101103,3.0,7800.0
2101202,29.0,25674.0
2101251,10.0,22672.0
2101301,6.0,7370.0
2101350,1.0,900.0
2101400,30.0,36300.0
2101509,10.0,12900.0
2101608,29.0,41912.0
2101707,14.0,16612.0
2101731,2.0,1800.0
2101772,4.0,4138.0
2101806,1.0,900.0
2101905,4.0,3300.0
2101939,3.0,2700.0
2101970,5.0,1878.0
2102002,18.0,32273.0
2102036,5.0,4200.0
2102077,4.0,4200.0
2102101,10.0,13514.0
2102150,4.0,12000.0
2102200,14.0,15370.0
2102309,10.0,11411.0
2102325,20.0,21817.0
2102358,2.0,900.0
2102408,2.0,4200.0
2102556,58.0,56765.0
2102606,7.0,9947.0
2102705,1.0,3000.0
2102804,7.0,13759.0
2102903,2.0,2521.0
2103000,57.0,53227.0
2103109,1.0,3000.0
2103125,2.0,2400.0
2103158,1.0,900.0
2103174,1.0,1800.0
2103208,28.0,36722.0
2103257,2.0,2400.0
2103307,43.0,52976.0
2103406,14.0,16629.0
2103505,11.0,15000.0
2103554,4.0,3421.0
2103604,12.0,12388.0
2103703,7.0,5400.0
2103752,5.0,5700.0
2103802,14.0,15429.0
2103901,4.0,2809.0
2104008,5.0,5403.0
2104057,14.0,21470.0
2104073,1.0,900.0
2104099,2.0,1500.0
2104107,3.0,5100.0
2104206,3.0,2788.0
2104305,4.0,3900.0
2104404,12.0,23400.0
2104503,3.0,2700.0
2104552,12.0,13621.0
2104602,3.0,4200.0
2104628,4.0,1478.0
2104651,1.0,1200.0
2104677,7.0,9511.0
2104701,1.0,600.0
2104800,20.0,24031.0
2105005,7.0,6953.0
2105104,5.0,4482.0
2105153,6.0,5132.0
2105203,2.0,2400.0
2105302,108.0,143314.0
2105351,6.0,11700.0
2105401,17.0,16113.0
2105427,57.0,77431.0
2105450,5.0,3650.0
2105476,9.0,17829.0
2105500,12.0,15469.0
2105609,12.0,27129.0
2105658,1.0,1200.0
2105708,33.0,93600.0
2105807,5.0,9300.0
2105906,4.0,4200.0
2105922,2.0,2100.0
2105948,4.0,2351.0
2105963,6.0,14570.0
2106003,5.0,7200.0
2106102,4.0,5700.0
2106300,4.0,5406.0
2106326,10.0,24902.0
2106359,4.0,9600.0
2106375,7.0,10070.0
2106409,3.0,5100.0
2106508,4.0,5210.0
2106607,4.0,5100.0
2106631,1.0,900.0
2106706,1.0,900.0
2106755,7.0,6631.0
2106805,2.0,3900.0
2106904,10.0,19200.0
2107001,3.0,2700.0
2107100,2.0,1500.0
2107209,2.0,2400.0
2107308,2.0,2400.0
2107357,8.0,21000.0
2107407,2.0,6900.0
2107456,5.0,9600.0
2107506,37.0,38115.0
2107605,1.0,3000.0
2107704,4.0,4743.0
2107803,5.0,4029.0
2107902,7.0,4482.0
2108009,3.0,2229.0
2108108,10.0,22800.0
2108207,14.0,20400.0
2108256,9.0,20471.0
2108306,11.0,13111.0
2108454,2.0,1800.0
2108504,4.0,5700.0
2108603,32.0,48300.0
2108702,14.0,21381.0
2108801,2.0,2400.0
2108900,5.0,9600.0
2109007,14.0,17700.0
2109056,3.0,4200.0
2109106,18.0,17528.0
2109270,4.0,4500.0
2109304,3.0,4800.0
2109452,13.0,14306.0
2109502,5.0,4500.0
2109551,3.0,2229.0
2109601,26.0,26366.0
2109759,2.0,3900.0
2109809,14.0,22013.0
2109908,37.0,48000.0
2110005,17.0,20570.0
2110039,9.0,13831.0
2110104,10.0,24081.0
2110203,15.0,17189.0
2110237,5.0,9091.0
2110278,2.0,1500.0
2110302,6.0,12300.0
2110401,6.0,5940.0
2110500,14.0,19629.0
2110609,6.0,11747.0
2110658,2.0,3900.0
2110708,6.0,9300.0
2110807,1.0,1200.0
2110856,3.0,2870.0
2110906,4.0,7200.0
2111003,4.0,8311.0
2111029,5.0,8513.0
2111052,2.0,3000.0
2111078,4.0,3900.0
2111102,5.0,5400.0
2111201,59.0,69146.0
2111250,2.0,3900.0
2111300,371.0,473853.0
2111409,4.0,9000.0
2111508,15.0,14832.0
2111532,5.0,7500.0
2111573,1.0,1200.0
2111607,10.0,15788.0
2111631,1.0,3600.0
2111672,3.0,6900.0
2111706,4.0,3049.0
2111722,3.0,6088.0
2111748,2.0,4800.0
2111763,13.0,23400.0
2111805,5.0,9000.0
2111904,1.0,900.0
2112001,4.0,4654.0
2112100,8.0,8100.0
2112209,68.0,115043.0
2112233,5.0,4200.0
2112274,2.0,3900.0
2112308,11.0,13307.0
2112407,9.0,8660.0
2112456,13.0,26402.0
2112506,10.0,12900.0
2112605,11.0,18729.0
2112704,7.0,7800.0
2112803,29.0,54547.0
2112852,2.0,1800.0
2112902,10.0,16191.0
2113009,11.0,19329.0
2114007,15.0,22882.0
2200202,7.0,8400.0
2200251,3.0,2400.0
2200277,4.0,5509.0
2200301,5.0,8400.0
2200400,21.0,28800.0
2200459,1.0,900.0
2200509,4.0,3900.0
2200707,2.0,1022.0
2200806,3.0,1142.0
2200905,1.0,900.0
2201002,1.0,429.0
2201051,4.0,4981.0
2201101,1.0,900.0
2201150,2.0,1800.0
2201200,19.0,20468.0
2201309,2.0,5400.0
2201408,4.0,6300.0
2201507,4.0,7500.0
2201572,2.0,1800.0
2201606,1.0,1200.0
2201705,2.0,1800.0
2201739,1.0,446.0
2201770,3.0,3000.0
2201903,6.0,4492.0
2201919,3.0,3900.0
2201929,5.0,4945.0
2201945,4.0,5100.0
2201960,2.0,1800.0
2201988,1.0,420.0
2202000,2.0,3000.0
2202026,2.0,3600.0
2202059,2.0,1232.0
2202083,1.0,900.0
2202091,1.0,1800.0
2202109,3.0,2100.0
2202133,1.0,900.0
2202174,2.0,7200.0
2202208,18.0,15841.0
2202307,5.0,2551.0
2202406,3.0,3701.0
2202505,1.0,1200.0
2202539,1.0,600.0
2202554,1.0,6000.0
2202604,4.0,5100.0
2202703,6.0,6600.0
2202711,3.0,4329.0
2202752,4.0,5544.0
2202778,1.0,900.0
2202901,6.0,6709.0
2203008,3.0,1164.0
2203107,1.0,3000.0
2203206,3.0,3300.0
2203230,2.0,2400.0
2203255,3.0,1709.0
2203271,1.0,900.0
2203305,5.0,4951.0
2203354,1.0,2400.0
2203404,2.0,1070.0
2203453,1.0,362.0
2203503,8.0,8400.0
2203701,12.0,17567.0
2203750,1.0,900.0
2203800,1.0,1200.0
2203859,1.0,79.0
2203909,18.0,27470.0
2204006,1.0,600.0
2204105,2.0,1800.0
2204303,1.0,900.0
2204501,3.0,4800.0
2204550,1.0,331.0
2204659,4.0,2033.0
2204709,4.0,5229.0
2204808,4.0,3040.0
2204907,2.0,1243.0
2205003,2.0,1629.0
2205102,1.0,900.0
2205151,2.0,1200.0
2205201,2.0,2400.0
2205276,1.0,900.0
2205359,3.0,2229.0
2205409,3.0,2143.0
2205458,1.0,900.0
2205508,10.0,12363.0
2205524,2.0,1320.0
2205532,1.0,1200.0
2205540,1.0,1200.0
2205557,2.0,2400.0
2205573,2.0,264.0
2205599,2.0,1626.0
2205706,5.0,3300.0
2205805,14.0,24872.0
2205854,6.0,14700.0
2205904,1.0,900.0
2205953,2.0,1294.0
2206001,3.0,3000.0
2206050,1.0,900.0
2206100,8.0,15933.0
2206209,8.0,11020.0
2206407,5.0,8700.0
2206506,1.0,600.0
2206654,3.0,3154.0
2206670,1.0,1800.0
2206696,1.0,900.0
2206720,4.0,9300.0
2206753,1.0,900.0
2206803,1.0,600.0
2206902,1.0,900.0
2206951,1.0,900.0
2207009,14.0,15900.0
2207306,1.0,1200.0
2207405,2.0,4200.0
2207553,1.0,900.0
2207603,1.0,900.0
2207702,59.0,65398.0
2207751,4.0,7200.0
2207777,4.0,5400.0
2207801,6.0,9429.0
2207850,1.0,900.0
2207900,8.0,15720.0
2208007,17.0,21600.0
2208106,3.0,4800.0
2208205,1.0,900.0
2208304,7.0,5313.0
2208403,13.0,13560.0
2208502,3.0,4200.0
2208650,1.0,1200.0
2208700,1.0,600.0
2208809,11.0,7212.0
2208874,1.0,900.0
2208908,2.0,2100.0
2209005,1.0,2400.0
2209153,1.0,900.0
2209302,2.0,2100.0
2209351,1.0,600.0
2209450,1.0,900.0
2209559,1.0,1200.0
2209708,1.0,1200.0
2209807,1.0,900.0
2209872,1.0,1200.0
2209906,2.0,959.0
2209955,1.0,900.0
2209971,1.0,3000.0
2210003,6.0,8043.0
2210052,2.0,1500.0
2210102,2.0,1091.0
2210201,2.0,1500.0
2210300,1.0,600.0
2210383,1.0,1200.0
2210409,8.0,8792.0
2210508,3.0,6000.0
2210607,9.0,9900.0
2210623,2.0,3900.0
2210706,4.0,4800.0
2210805,2.0,942.0
2210938,2.0,5400.0
2210979,1.0,900.0
2211001,303.0,452225.0
2211100,16.0,25200.0
2211209,9.0,8131.0
2211308,2.0,2100.0
2211605,2.0,1500.0
2300101,1.0,600.0
2300150,3.0,6000.0
2300200,14.0,16800.0
2300309,5.0,7200.0
2300408,3.0,3931.0
2300507,4.0,3900.0
2300705,2.0,4500.0
2300754,13.0,17529.0
2300903,1.0,900.0
2301000,20.0,24211.0
2301109,25.0,28158.0
2301208,8.0,15743.0
2301307,6.0,3987.0
2301406,4.0,8100.0
2301604,5.0,8400.0
2301703,10.0,16670.0
2301802,1.0,209.0
2301851,2.0,1800.0
2301901,21.0,27423.0
2301950,6.0,12211.0
2302008,3.0,5100.0
2302057,4.0,5100.0
2302107,4.0,5100.0
2302206,18.0,25417.0
2302305,3.0,2318.0
2302404,7.0,6209.0
2302503,13.0,16070.0
2302602,14.0,14700.0
2302701,1.0,900.0
2302800,18.0,29091.0
2303006,4.0,3931.0
2303105,5.0,9900.0
2303204,7.0,9244.0
2303303,2.0,1800.0
2303501,23.0,42299.0
2303600,2.0,3600.0
2303709,109.0,132902.0
2303808,7.0,4914.0
2303907,3.0,5100.0
2303931,2.0,3900.0
2303956,7.0,8313.0
2304004,3.0,1880.0
2304103,14.0,18900.0
2304202,47.0,79223.0
2304236,4.0,4620.0
2304251,13.0,24394.0
2304269,1.0,3000.0
2304277,3.0,2400.0
2304285,24.0,24599.0
2304301,8.0,8400.0
2304350,6.0,6398.0
2304400,1010.0,1480134.0
2304459,5.0,13200.0
2304509,4.0,5700.0
2304608,1.0,2400.0
2304657,1.0,470.0
2304707,11.0,13263.0
2304806,5.0,10200.0
2304905,4.0,4970.0
2304954,3.0,2400.0
2305001,17.0,20563.0
2305100,2.0,1800.0
2305209,10.0,14870.0
2305233,31.0,45817.0
2305308,5.0,6811.0
2305332,1.0,1200.0
2305357,3.0,1806.0
