municipio_ibge,soma,contagem
1100023,3000.0,1
1100049,300.0,1
1100114,4500.0,1
1100122,3000.0,1
1100205,67500.0,25
1100288,3000.0,1
1100809,4200.0,1
1200401,9000.0,3
1301100,3600.0,1
1301704,6600.0,3
1302405,2400.0,2
1302603,134700.0,45
1302702,2400.0,1
1303403,7200.0,2
1303536,3000.0,1
1303569,3000.0,1
1400100,43800.0,16
1400209,3000.0,1
1400282,1200.0,1
1400308,1200.0,1
1500107,4200.0,2
1500206,4200.0,1
1500404,10200.0,3
1500602,4200.0,1
1500800,57000.0,18
1500859,3000.0,1
1500958,3000.0,1
1501303,1200.0,1
1501402,156600.0,60
1501501,2700.0,3
1501725,1200.0,1
1501808,15600.0,5
1501907,3000.0,1
1502103,4200.0,3
1502152,1200.0,1
1502301,3000.0,1
1502400,1800.0,2
1502855,3000.0,1
1503101,3000.0,1
1503309,3000.0,1
1503507,3000.0,1
1503705,3000.0,1
1504208,11400.0,4
1504307,3900.0,2
1504422,5100.0,3
1505106,7200.0,2
1505502,24900.0,6
1505536,11400.0,4
1505809,4200.0,1
1506138,4800.0,2
1506187,3000.0,1
1506500,4200.0,1
1506807,20400.0,8
1506906,3000.0,1
1507201,3000.0,1
1507961,300.0,1
1508209,4200.0,1
1508357,3000.0,1
1600279,3000.0,1
1600303,17400.0,5
1600600,10200.0,3
1702109,5400.0,3
1702158,4200.0,1
1702307,1200.0,1
1702554,2400.0,2
1705508,3000.0,1
1709500,3000.0,1
1716109,4200.0,2
1718808,2400.0,1
1721000,16800.0,6
2100055,3000.0,1
2101400,2400.0,1
2101608,1200.0,1
2102077,4200.0,1
2105302,1200.0,1
2105906,3000.0,1
2107506,5400.0,2
2108603,1200.0,1
2110500,4200.0,1
2111201,9600.0,4
2111300,45900.0,20
2112233,4200.0,1
2112407,3000.0,1
2112803,900.0,1
2112902,1200.0,1
2200053,3000.0,1
2200400,4800.0,2
2200608,3000.0,1
2201200,1800.0,1
2202117,3000.0,1
2202208,5400.0,2
2202307,3000.0,1
2203206,3000.0,1
2203701,4200.0,1
2205409,1200.0,1
2205508,2700.0,3
2205805,1200.0,1
2206407,4500.0,3
