municipio_siafi,contagem,soma
70,1545.0,580087.0
105,1112.0,294564.0
107,6464.0,2449607.0
109,2483.0,908564.0
113,2629.0,990950.0
139,9169.0,2636657.0
145,4049.0,1452279.0
147,4764.0,2000135.0
149,535.0,147895.0
151,350.0,81257.0
153,1599.0,498892.0
155,1239.0,478297.0
157,884.0,332415.0
201,833.0,228986.0
203,1475.0,466649.0
205,1426.0,574566.0
207,3968.0,1363114.0
209,847.0,205417.0
211,3253.0,1211076.0
213,3283.0,1154311.0
215,1699.0,510259.0
217,3202.0,1083728.0
219,1797.0,620094.0
221,3453.0,1288761.0
223,1500.0,374431.0
225,3383.0,1064806.0
227,1451.0,400842.0
229,2995.0,1161685.0
231,2122.0,845872.0
233,1649.0,459915.0
235,3040.0,909195.0
237,1146.0,389146.0
239,2144.0,744607.0
241,4374.0,1323290.0
243,699.0,184709.0
245,648.0,238788.0
247,1065.0,378886.0
249,2135.0,846670.0
251,5095.0,1906855.0
253,7178.0,2004186.0
255,29346.0,5307884.0
257,1817.0,488339.0
259,2171.0,920662.0
261,4512.0,1714824.0
263,2111.0,761413.0
265,2020.0,688495.0
267,1553.0,542264.0
269,5061.0,1555572.0
271,1836.0,698834.0
273,2335.0,814388.0
275,2618.0,919739.0
277,1070.0,357968.0
279,1134.0,203620.0
281,4004.0,1317303.0
283,3475.0,1335838.0
285,1405.0,423477.0
287,2343.0,837128.0
289,1080.0,355084.0
291,558.0,142834.0
293,1467.0,510480.0
295,2647.0,969466.0
297,1378.0,478850.0
299,785.0,212537.0
560,396.0,101229.0
562,855.0,239940.0
601,1019.0,307170.0
603,381.0,111153.0
605,9082.0,2330266.0
607,2767.0,1040872.0
609,448.0,95456.0
611,166.0,39641.0
613,1664.0,457587.0
615,4781.0,1386735.0
617,1122.0,411674.0
643,477.0,108692.0
645,424.0,131022.0
647,412.0,111670.0
649,948.0,275231.0
651,503.0,141885.0
653,1055.0,442080.0
655,1735.0,673583.0
657,1051.0,404998.0
659,1570.0,560487.0
661,904.0,384851.0
663,845.0,294275.0
665,429.0,130563.0
667,542.0,214452.0
669,916.0,315213.0
671,998.0,336369.0
673,368.0,120415.0
965,2491.0,800223.0
967,1962.0,753109.0
969,622.0,161396.0
971,1879.0,438475.0
1110,775.0,208245.0
2641,409.0,84760.0
2643,1202.0,367950.0
2645,873.0,275843.0
2701,1867.0,637979.0
2703,758.0,169047.0
2705,4499.0,1119860.0
2707,2181.0,500168.0
2709,1097.0,238595.0
2711,430.0,112641.0
2713,1306.0,384045.0
2715,319.0,89357.0
2717,782.0,224081.0
2719,1162.0,309747.0
2721,305.0,56517.0
2723,708.0,220046.0
2725,925.0,186300.0
