municipio_ibge,contagem,soma
1100106,2870,533188.0
1100379,751,121838.0
1100205,22356,3598351.0
1100940,1016,140549.0
1100304,2579,398675.0
1100114,2047,238906.0
1101476,180,27837.0
1100155,1067,143454.0
1101492,962,126305.0
1101559,244,38596.0
1100064,357,51000.0
5204557,194,29829.0
1400282,1293,264688.0
1100346,1146,153507.0
1400472,3150,739893.0
1100031,181,26438.0
1100130,1823,226392.0
1501451,2520,440132.0
1502152,3616,749364.0
5212055,306,54061.0
1503044,2081,378678.0
5219738,528,119290.0
1504976,1366,264804.0
5221577,304,67118.0
1505650,2897,792504.0
5203962,417,65800.0
5203939,146,20813.0
1507466,1093,273452.0
1508035,5183,1185296.0
1600808,2373,786070.0
5201454,181,31617.0
1700301,517,100188.0
5216452,140,19603.0
5205497,6255,1211407.0
1704600,169,32625.0
1706258,95,17693.0
5200555,473,93229.0
1712157,153,31274.0
5214879,135,19519.0
1713700,319,58923.0
5107404,249,41366.0
1718451,232,47197.0
5106653,385,77236.0
5107065,829,221251.0
1720002,243,37969.0
5107198,118,20930.0
1721257,100,23453.0
2100154,2465,554116.0
1200104,3120,619749.0
1200203,10457,3359179.0
2100477,4413,1315276.0
5107263,216,41107.0
2101251,2946,509932.0
5106158,789,148300.0
5108956,378,64350.0
2101731,1663,528852.0
2101939,863,166966.0
5100359,440,85660.0
2102036,4660,88.0
5103353,1831,411601.0
2102150,1760,481852.0
5103957,237,57903.0
2102358,2465,654907.0
1200401,22132,5087425.0
2102556,1462,287116.0
5006002,963,167274.0
2103125,1961,451693.0
1200609,7352,2554356.0
2103174,3166,870026.0
1200450,4190,1039779.0
2103752,1525,244851.0
1200344,1734,583837.0
1200054,1414,444936.0
2104081,1949,474049.0
2104552,2026,342384.0
5005251,378,87063.0
2104651,1878,485911.0
2105153,2678,752755.0
1703826,278,66152.0
2105351,2333,570584.0
2105450,1721,412173.0
2105658,950,271890.0
1712801,376,66554.0
2105948,1334,258161.0
1716307,464,84889.0
2106359,1323,260787.0
1718865,439,57678.0
2106631,1828,394062.0
2107258,782,226939.0
1300102,2924,757243.0
2107456,3325,741583.0
1300201,1931,707170.0
1300300,7486,2108116.0
2108256,5097,1093793.0
1300409,2426,481328.0
2109056,1441,307045.0
1300607,5318,1620495.0
2109270,3846,1089743.0
1300805,4941,1493801.0
2109551,920,164784.0
1301001,5891,1830392.0
2110237,1490,315799.0
1301209,9538,2272136.0
1301407,5283,1740060.0
2110856,1386,240527.0
1301605,3495,838864.0
2111052,1422,265052.0
1303601,2200,620032.0
2111250,1332,321482.0
2111532,1324,226392.0
2111631,1237,366930.0
1302108,907,292687.0
2111722,1562,310856.0
1302306,3266,1120383.0
2111763,2426,583549.0
1302504,17492,4013017.0
2111953,894,157355.0
1302702,5440,1155571.0
2112274,1312,415829.0
1302900,9273,2746327.0
1303106,4134,1121586.0
2200459,924,269548.0
1303403,15659,3525966.0
2201176,796,190551.0
1303700,4184,1185490.0
1303908,4087,1226553.0
2201572,665,142271.0
2201739,1265,279223.0
1304104,2384,392420.0
2201945,1194,277919.0
1304302,2854,682967.0
2202075,430,84656.0
1300029,2302,637172.0
2202117,1213,284671.0
1300086,1954,603224.0
2202174,1764,481502.0
1300631,4716,1356227.0
1300680,2306,669633.0
2202539,1117,185502.0
1400100,16825,2811022.0
2202653,885,209383.0
1400159,2342,659316.0
1400407,1944,696239.0
2203271,1006,235988.0
1400605,951,200750.0
1712702,166,34420.0
2204352,1097,230433.0
2204550,1042,291632.0
1718659,154,27113.0
2205276,905,205012.0
1703867,188,31445.0
2205458,1026,212870.0
2205524,961,258573.0
2205573,967,207611.0
1703305,548,150526.0
1708254,459,89576.0
2206357,1039,232009.0
1712009,191,35759.0
2206670,1115,262576.0
1717206,393,73617.0
2206753,862,155341.0
1720150,138,29897.0
2207553,763,159048.0
1721307,203,44982.0
1711902,973,242461.0
2207934,558,141960.0
1506351,2406,457549.0
2207959,986,215829.0
2208858,881,225009.0
1500131,1145,272431.0
2209450,259,78412.0
1507151,2948,604346.0
2209757,478,121389.0
1500347,2469,483351.0
1502764,1181,238786.0
1500958,3845,819316.0
2210375,356,91329.0
1504950,4237,1273021.0
2210383,271,56477.0
1507953,8202,1509376.0
1508084,1702,227215.0
2210631,625,95357.0
1500107,33845,7022933.0
2210953,587,136406.0
1500206,10949,2201225.0
1500404,11204,2004120.0
1500503,5454,1801414.0
2211704,724,111531.0
1500701,4996,1568385.0
2401859,873,223621.0
1500909,7644,1803165.0
2404853,1181,217066.0
1501105,3580,1060720.0
2409332,1143,259989.0
1501303,13431,2516083.0
2410256,979,260251.0
2411056,373,52748.0
1501501,10185,2302139.0
1501709,15026,2920608.0
2414456,815,172720.0
1501907,5255,1508844.0
1502103,19417,3896317.0
2500734,459,113858.0
1502301,7442,1207703.0
2501153,321,86010.0
1502509,3053,881546.0
2501534,905,201229.0
1502707,3079,462435.0
2502052,533,161011.0
1502905,8191,1810397.0
2503555,1469,426602.0
1503101,5937,2127818.0
2504033,1158,270515.0
2504157,1273,334428.0
1503507,6310,1035584.0
2504850,362,70516.0
1503705,5996,1235099.0
2505279,1222,309294.0
1503903,5404,1170875.0
1504109,1141,224783.0
1504208,14306,2309435.0
2509057,1959,439313.0
1504307,5953,1066305.0
1504406,3864,730743.0
2509339,737,191007.0
1504604,6454,1857887.0
2509396,1153,174888.0
1504802,9191,1589158.0
2512077,568,142958.0
1505007,2219,381320.0
2512721,999,191116.0
1505205,6100,1706059.0
2512754,762,190395.0
1505403,3385,744887.0
2512788,361,81520.0
1505601,1032,188074.0
2513356,649,152321.0
2513653,400,105507.0
2513927,584,144965.0
1506005,7553,2258288.0
2513943,349,60953.0
1506203,3992,718084.0
2514552,600,146696.0
1506609,3383,556888.0
1506906,1839,385509.0
2516755,385,59659.0
1507102,2665,505735.0
2517407,331,71164.0
1507300,6987,1647436.0
2604155,2613,653434.0
1507508,2287,591245.0
2608057,2145,481221.0
1507706,5171,1522014.0
1507904,3761,845644.0
2614857,2807,579853.0
