municipio_siafi,contagem,soma
1,2824.0,535504.0
2,678.0,113255.0
3,22558.0,3679798.0
4,1809.0,276952.0
5,1987.0,277243.0
7,3344.0,493625.0
9,2383.0,382069.0
11,755.0,118651.0
12,230.0,33540.0
19,1537.0,243052.0
21,1605.0,288034.0
27,615.0,92725.0
28,2481.0,695982.0
29,1249.0,161834.0
30,1384.0,288005.0
33,1402.0,218620.0
34,1500.0,364607.0
36,3200.0,722700.0
37,166.0,24924.0
40,5352.0,1349150.0
46,4089.0,1166614.0
47,1154.0,182529.0
48,3630.0,747721.0
50,2125.0,501514.0
52,2120.0,388990.0
53,545.0,124294.0
55,2457.0,451549.0
57,607.0,99221.0
58,1300.0,241918.0
59,302.0,66880.0
60,2914.0,791976.0
61,421.0,67507.0
64,1096.0,273109.0
65,238.0,34339.0
66,416.0,83800.0
68,5192.0,1210519.0
70,2380.0,773642.0
72,520.0,99534.0
74,255.0,40496.0
77,6333.0,1224288.0
79,773.0,145865.0
90,324.0,59611.0
93,250.0,42431.0
96,168.0,29225.0
97,818.0,218863.0
100,180.0,36698.0
102,101.0,23278.0
105,3112.0,615761.0
106,3897.0,873867.0
107,10302.0,3357667.0
108,4414.0,1305765.0
109,3184.0,1080155.0
110,1349.0,339404.0
112,3996.0,1149003.0
113,4689.0,1422577.0
114,2128.0,433898.0
115,226.0,42966.0
117,795.0,148373.0
119,387.0,65537.0
124,858.0,167809.0
125,297.0,43036.0
126,1506.0,358163.0
128,4681.0,897230.0
130,2258.0,422101.0
131,1831.0,410952.0
132,1755.0,482542.0
133,476.0,120379.0
134,6369.0,1180469.0
135,239.0,57034.0
138,2043.0,655891.0
139,21977.0,5123393.0
140,1470.0,288375.0
142,2555.0,581108.0
144,1965.0,455335.0
145,6862.0,1977950.0
146,2111.0,523450.0
147,7314.0,2548146.0
148,3147.0,856193.0
149,1968.0,396041.0
150,2536.0,641605.0
151,1504.0,266134.0
152,2932.0,908121.0
153,4212.0,1048032.0
154,1539.0,251807.0
155,1733.0,581350.0
156,1288.0,304491.0
157,1412.0,443147.0
158,1922.0,471934.0
160,2822.0,813678.0
161,1138.0,307713.0
162,2048.0,350120.0
164,1040.0,247161.0
168,4031.0,1047420.0
169,756.0,187472.0
170,2672.0,751822.0
172,2313.0,570437.0
173,719.0,163852.0
174,3825.0,758850.0
178,2298.0,565363.0
180,950.0,273019.0
181,1210.0,281894.0
182,1987.0,504394.0
183,384.0,68968.0
184,1346.0,262486.0
185,787.0,181353.0
188,1413.0,300033.0
