populacao,municipio_ibge6,nome,year
22945,110001,ALTA FLORESTA D'OESTE,2019
107863,110002,ARIQUEMES,2019
5312,110003,CABIXI,2019
85359,110004,CACOAL,2019
16323,110005,CEREJEIRAS,2019
15882,110006,COLORADO DO OESTE,2019
7391,110007,CORUMBIARA,2019
18331,110008,COSTA MARQUES,2019
32374,110009,ESPIGAO D'OESTE,2019
46174,110010,GUAJARA-MIRIM,2019
51775,110011,JARU,2019
128969,110012,JI-PARANA,2019
39991,110013,MACHADINHO D'OESTE,2019
20474,110014,NOVA BRASILANDIA D'OESTE,2019
36035,110015,OURO PRETO DO OESTE,2019
36660,110018,PIMENTA BUENO,2019
529544,110020,PORTO VELHO,2019
18986,110025,PRESIDENTE MEDICI,2019
3764,110026,RIO CRESPO,2019
55058,110028,ROLIM DE MOURA,2019
6495,110029,SANTA LUZIA D'OESTE,2019
99854,110030,VILHENA,2019
23005,110032,SAO MIGUEL DO GUAPORE,2019
30583,110033,NOVA MAMORE,2019
14411,110034,ALVORADA D'OESTE,2019
13241,110037,ALTO ALEGRE DOS PARECIS,2019
21428,110040,ALTO PARAISO,2019
39654,110045,BURITIS,2019
8538,110050,NOVO HORIZONTE DO OESTE,2019
6230,110060,CACAULANDIA,2019
14139,110070,CAMPO NOVO DE RONDONIA,2019
26693,110080,CANDEIAS DO JAMARI,2019
3052,110090,CASTANHEIRAS,2019
11182,110092,CHUPINGUAIA,2019
25215,110094,CUJUBIM,2019
7767,110100,GOVERNADOR JORGE TEIXEIRA,2019
10458,110110,ITAPUA DO OESTE,2019
9660,110120,MINISTRO ANDREAZZA,2019
10947,110130,MIRANTE DA SERRA,2019
15852,110140,MONTE NEGRO,2019
6970,110143,NOVA UNIAO,2019
6074,110145,PARECIS,2019
2169,110146,PIMENTEIRAS DO OESTE,2019
2856,110147,PRIMAVERA DE RONDONIA,2019
5172,110148,SAO FELIPE D'OESTE,2019
20266,110149,SAO FRANCISCO DO GUAPORE,2019
11856,110150,SERINGUEIRAS,2019
4308,110155,TEIXEIROPOLIS,2019
10444,110160,THEOBROMA,2019
11467,110170,URUPA,2019
11204,110175,VALE DO ANARI,2019
6825,110180,VALE DO PARAISO,2019
15256,120001,ACRELANDIA,2019
7417,120005,ASSIS BRASIL,2019
26278,120010,BRASILEIA,2019
10266,120013,BUJARI,2019
11733,120017,CAPIXABA,2019
88376,120020,CRUZEIRO DO SUL,2019
18411,120025,EPITACIOLANDIA,2019
34780,120030,FEIJO,2019
8317,120032,JORDAO,2019
18977,120033,MANCIO LIMA,2019
9459,120034,MANOEL URBANO,2019
18867,120035,MARECHAL THAUMATURGO,2019
19761,120038,PLACIDO DE CASTRO,2019
11982,120039,PORTO WALTER,2019
407319,120040,RIO BRANCO,2019
18930,120042,RODRIGUES ALVES,2019
6540,120043,SANTA ROSA DO PURUS,2019
23024,120045,SENADOR GUIOMARD,2019
45848,120050,SENA MADUREIRA,2019
42567,120060,TARAUACA,2019
19323,120070,XAPURI,2019
18504,120080,PORTO ACRE,2019
16041,130002,ALVARAES,2019
11536,130006,AMATURA,2019
13614,130008,ANAMA,2019
21010,130010,ANORI,2019
21973,130014,APUI,2019
19921,130020,ATALAIA DO NORTE,2019
39565,130030,AUTAZES,2019
27502,130040,BARCELOS,2019
32041,130050,BARREIRINHA,2019
42984,130060,BENJAMIN CONSTANT,2019
19679,130063,BERURI,2019
19207,130068,BOA VISTA DO RAMOS,2019
34308,130070,BOCA DO ACRE,2019
41161,130080,BORBA,2019
13081,130083,CAAPIRANGA,2019
15629,130090,CANUTAMA,2019
28294,130100,CARAUARI,2019
37869,130110,CAREIRO,2019
30225,130115,CAREIRO DA VARZEA,2019
85097,130120,COARI,2019
28637,130130,CODAJAS,2019
35273,130140,EIRUNEPE,2019
20033,130150,ENVIRA,2019
17609,130160,FONTE BOA,2019
16678,130165,GUAJARA,2019
55080,130170,HUMAITA,2019
29689,130180,IPIXUNA,2019
48296,130185,IRANDUBA,2019
101337,130190,ITACOATIARA,2019
7851,130195,ITAMARATI,2019
9148,130200,ITAPIRANGA,2019
2755,130210,JAPURA,2019
14712,130220,JURUA,2019
14317,130230,JUTAI,2019
46069,130240,LABREA,2019
97377,130250,MANACAPURU,2019
32105,130255,MANAQUIRI,2019
2182763,130260,MANAUS,2019
55751,130270,MANICORE,2019
18224,130280,MARAA,2019
