date,municipio_ibge,suicidios,obitos_totais,taxa_suicidio
2019-01-01,1100023,1,43,0.023255813953488372
2019-01-01,1100049,1,48,0.020833333333333332
2019-01-01,1100064,1,6,0.16666666666666666
2019-01-01,1100122,1,58,0.017241379310344827
2019-01-01,1100205,3,184,0.016304347826086956
2019-01-01,1100288,1,21,0.047619047619047616
2019-01-01,1100304,4,48,0.08333333333333333
2019-01-01,1100940,1,5,0.2
2019-01-01,1200013,1,6,0.16666666666666666
2019-01-01,1200104,1,9,0.1111111111111111
2019-01-01,1200203,1,30,0.03333333333333333
2019-01-01,1200401,4,170,0.023529411764705882
2019-01-01,1200435,1,2,0.5
2019-01-01,1300060,1,3,0.3333333333333333
2019-01-01,1300607,1,13,0.07692307692307693
2019-01-01,1301001,1,6,0.16666666666666666
2019-01-01,1301407,1,8,0.125
2019-01-01,1301803,1,3,0.3333333333333333
2019-01-01,1302603,9,918,0.00980392156862745
2019-01-01,1302900,2,15,0.13333333333333333
2019-01-01,1303569,1,5,0.2
2019-01-01,1304062,1,26,0.038461538461538464
2019-01-01,1400100,1,155,0.0064516129032258064
2019-01-01,1400308,1,8,0.125
2019-01-01,1500206,1,22,0.045454545454545456
2019-01-01,1500503,1,11,0.09090909090909091
2019-01-01,1500701,1,12,0.08333333333333333
2019-01-01,1501303,1,48,0.020833333333333332
2019-01-01,1501402,4,790,0.005063291139240506
2019-01-01,1502103,1,50,0.02
2019-01-01,1503002,1,5,0.2
2019-01-01,1503044,1,6,0.16666666666666666
2019-01-01,1503077,1,13,0.07692307692307693
2019-01-01,1503804,1,19,0.05263157894736842
2019-01-01,1504703,1,37,0.02702702702702703
2019-01-01,1505908,1,16,0.0625
2019-01-01,1506005,1,8,0.125
2019-01-01,1506187,1,17,0.058823529411764705
2019-01-01,1506500,1,26,0.038461538461538464
2019-01-01,1506807,4,126,0.031746031746031744
2019-01-01,1507979,1,6,0.16666666666666666
2019-01-01,1508050,1,10,0.1
2019-01-01,1508100,2,42,0.047619047619047616
2019-01-01,1600154,1,6,0.16666666666666666
2019-01-01,1600303,1,182,0.005494505494505495
2019-01-01,1600402,1,11,0.09090909090909091
2019-01-01,1600501,1,7,0.14285714285714285
2019-01-01,1700350,1,7,0.14285714285714285
2019-01-01,1705508,1,20,0.05
2019-01-01,1708205,2,19,0.10526315789473684
2019-01-01,1721000,1,104,0.009615384615384616
2019-01-01,2100303,1,10,0.1
2019-01-01,2100436,1,14,0.07142857142857142
2019-01-01,2100477,1,13,0.07692307692307693
2019-01-01,2100600,1,12,0.08333333333333333
2019-01-01,2101400,1,42,0.023809523809523808
2019-01-01,2101608,1,40,0.025
2019-01-01,2102150,1,3,0.3333333333333333
2019-01-01,2103000,1,79,0.012658227848101266
2019-01-01,2103307,1,61,0.01639344262295082
2019-01-01,2104503,1,6,0.16666666666666666
2019-01-01,2104800,1,26,0.038461538461538464
2019-01-01,2105906,1,11,0.09090909090909091
2019-01-01,2107209,1,5,0.2
2019-01-01,2107803,1,14,0.07142857142857142
2019-01-01,2108603,1,56,0.017857142857142856
2019-01-01,2109304,1,2,0.5
2019-01-01,2109809,1,14,0.07142857142857142
2019-01-01,2110609,1,11,0.09090909090909091
2019-01-01,2111300,1,494,0.0020242914979757085
2019-01-01,2111904,1,6,0.16666666666666666
2019-01-01,2112209,1,71,0.014084507042253521
2019-01-01,2201002,1,2,0.5
2019-01-01,2201507,1,11,0.09090909090909091
2019-01-01,2201988,1,3,0.3333333333333333
2019-01-01,2203404,1,7,0.14285714285714285
2019-01-01,2203909,1,42,0.023809523809523808
2019-01-01,2205201,1,11,0.09090909090909091
2019-01-01,2206209,1,9,0.1111111111111111
2019-01-01,2207702,1,104,0.009615384615384616
2019-01-01,2207900,1,19,0.05263157894736842
2019-01-01,2208007,1,33,0.030303030303030304
2019-01-01,2208205,1,5,0.2
2019-01-01,2209971,1,5,0.2
2019-01-01,2210409,1,8,0.125
2019-01-01,2210706,1,2,0.5
2019-01-01,2211001,6,425,0.01411764705882353
2019-01-01,2211209,1,15,0.06666666666666667
2019-01-01,2300101,1,5,0.2
2019-01-01,2302206,1,29,0.034482758620689655
2019-01-01,2302404,1,28,0.03571428571428571
2019-01-01,2302602,3,33,0.09090909090909091
2019-01-01,2302800,1,41,0.024390243902439025
2019-01-01,2302909,1,10,0.1
2019-01-01,2303808,1,12,0.08333333333333333
2019-01-01,2304202,2,73,0.0273972602739726
2019-01-01,2304251,1,8,0.125
2019-01-01,2304269,1,15,0.06666666666666667
2019-01-01,2304285,1,31,0.03225806451612903
2019-01-01,2304400,15,1278,0.011737089201877934
2019-01-01,2304509,1,14,0.07142857142857142
2019-01-01,2304707,1,30,0.03333333333333333
2019-01-01,2305407,1,37,0.02702702702702703
2019-01-01,2305506,1,64,0.015625
