"Munic�pio";"Popula��o_residente"
"110001 ALTA FLORESTA D'OESTE";22945
"110002 ARIQUEMES";107863
"110003 CABIXI";5312
"110004 CACOAL";85359
"110005 CEREJEIRAS";16323
"110006 COLORADO DO OESTE";15882
"110007 CORUMBIARA";7391
"110008 COSTA MARQUES";18331
"110009 ESPIGAO D'OESTE";32374
"110010 GUAJARA-MIRIM";46174
"110011 JARU";51775
"110012 JI-PARANA";128969
"110013 MACHADINHO D'OESTE";39991
"110014 NOVA BRASILANDIA D'OESTE";20474
"110015 OURO PRETO DO OESTE";36035
"110018 PIMENTA BUENO";36660
"110020 PORTO VELHO";529544
"110025 PRESIDENTE MEDICI";18986
"110026 RIO CRESPO";3764
"110028 ROLIM DE MOURA";55058
"110029 SANTA LUZIA D'OESTE";6495
"110030 VILHENA";99854
"110032 SAO MIGUEL DO GUAPORE";23005
"110033 NOVA MAMORE";30583
"110034 ALVORADA D'OESTE";14411
"110037 ALTO ALEGRE DOS PARECIS";13241
"110040 ALTO PARAISO";21428
"110045 BURITIS";39654
"110050 NOVO HORIZONTE DO OESTE";8538
"110060 CACAULANDIA";6230
"110070 CAMPO NOVO DE RONDONIA";14139
"110080 CANDEIAS DO JAMARI";26693
"110090 CASTANHEIRAS";3052
"110092 CHUPINGUAIA";11182
"110094 CUJUBIM";25215
"110100 GOVERNADOR JORGE TEIXEIRA";7767
"110110 ITAPUA DO OESTE";10458
"110120 MINISTRO ANDREAZZA";9660
"110130 MIRANTE DA SERRA";10947
"110140 MONTE NEGRO";15852
"110143 NOVA UNIAO";6970
"110145 PARECIS";6074
"110146 PIMENTEIRAS DO OESTE";2169
"110147 PRIMAVERA DE RONDONIA";2856
"110148 SAO FELIPE D'OESTE";5172
"110149 SAO FRANCISCO DO GUAPORE";20266
"110150 SERINGUEIRAS";11856
"110155 TEIXEIROPOLIS";4308
"110160 THEOBROMA";10444
"110170 URUPA";11467
"110175 VALE DO ANARI";11204
"110180 VALE DO PARAISO";6825
"120001 ACRELANDIA";15256
"120005 ASSIS BRASIL";7417
"120010 BRASILEIA";26278
"120013 BUJARI";10266
"120017 CAPIXABA";11733
"120020 CRUZEIRO DO SUL";88376
"120025 EPITACIOLANDIA";18411
"120030 FEIJO";34780
"120032 JORDAO";8317
"120033 MANCIO LIMA";18977
"120034 MANOEL URBANO";9459
"120035 MARECHAL THAUMATURGO";18867
"120038 PLACIDO DE CASTRO";19761
"120039 PORTO WALTER";11982
"120040 RIO BRANCO";407319
"120042 RODRIGUES ALVES";18930
"120043 SANTA ROSA DO PURUS";6540
"120045 SENADOR GUIOMARD";23024
"120050 SENA MADUREIRA";45848
"120060 TARAUACA";42567
"120070 XAPURI";19323
"120080 PORTO ACRE";18504
"130002 ALVARAES";16041
"130006 AMATURA";11536
"130008 ANAMA";13614
"130010 ANORI";21010
"130014 APUI";21973
"130020 ATALAIA DO NORTE";19921
"130030 AUTAZES";39565
"130040 BARCELOS";27502
"130050 BARREIRINHA";32041
"130060 BENJAMIN CONSTANT";42984
"130063 BERURI";19679
"130068 BOA VISTA DO RAMOS";19207
"130070 BOCA DO ACRE";34308
"130080 BORBA";41161
"130083 CAAPIRANGA";13081
"130090 CANUTAMA";15629
"130100 CARAUARI";28294
"130110 CAREIRO";37869
"130115 CAREIRO DA VARZEA";30225
"130120 COARI";85097
"130130 CODAJAS";28637
"130140 EIRUNEPE";35273
"130150 ENVIRA";20033
"130160 FONTE BOA";17609
"130165 GUAJARA";16678
"130170 HUMAITA";55080
"130180 IPIXUNA";29689
"130185 IRANDUBA";48296
"130190 ITACOATIARA";101337
"130195 ITAMARATI";7851
"130200 ITAPIRANGA";9148
"130210 JAPURA";2755
"130220 JURUA";14712
"130230 JUTAI";14317
"130240 LABREA";46069
"130250 MANACAPURU";97377
"130255 MANAQUIRI";32105
"130260 MANAUS";2182763
"130270 MANICORE";55751
"130280 MARAA";18224
"130290 MAUES";63905
"130300 NHAMUNDA";21173
"130310 NOVA OLINDA DO NORTE";37378
"130320 NOVO AIRAO";19454
"130330 NOVO ARIPUANA";25644
"130340 PARINTINS";114273
"130350 PAUINI";19426
"130353 PRESIDENTE FIGUEIREDO";36279
"130356 RIO PRETO DA EVA";33347
"130360 SANTA ISABEL DO RIO NEGRO";25156
"130370 SANTO ANTONIO DO ICA";21602
